07:36:42.735 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: floppy 
07:36:44.260 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: /say MAKE ME LOWER STAFF PLEASE 
07:36:44.478 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: i'll do 50k 
07:36:44.514 INFO  Minecraft: Guild > SealEaterV [M]: MAKE ME LOWER STAFF PLEASE 
07:36:44.848 INFO  Minecraft: Guild > [VIP] VincentSenpai [M]: WHERE THERE ARE RATS 
07:36:46.246 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: 5x ah price 
07:36:46.917 INFO  Minecraft: Guild > [MVP++] Aesphea [M]: reject seal kind become rat 
07:36:54.714 INFO  Minecraft: ----------------------------------------------------- 
07:36:54.716 INFO  Minecraft: SealEaterV was promoted from Member to Friend 
07:36:54.718 INFO  Minecraft: ----------------------------------------------------- 
07:36:57.511 INFO  Minecraft: ----------------------------------------------------- 
07:36:57.513 INFO  Minecraft: SealEaterV was promoted from Friend to Lower Staff 
07:36:57.515 INFO  Minecraft: ----------------------------------------------------- 
07:36:58.448 INFO  Minecraft: Guild > [MVP] The4p1 [M]: gg 
07:37:07.809 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: floppy 50k// 
07:37:08.936 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: floppy 50k///// 
07:37:10.919 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: /SAY THANKYOU cqps 
07:37:11.899 INFO  Minecraft: Guild > SealEaterV [LS]: THANKYOU cqps 
07:37:22.447 INFO  Discord: [💬→︱guild-chat] GM | OwOSeal: /say hi 
07:37:25.261 INFO  Discord: [💬👮→︱officer-chat] Dev/Mod | BamBoozledMC: hello 
07:37:25.614 INFO  Minecraft: Officer > SealEaterV [LS]: Dev/Mod| BamBoozledMC» hello 
07:37:28.336 INFO  Discord: [💬→︱guild-chat] GM | OwOSeal: /SAY HI 
07:37:29.860 INFO  Minecraft: Guild > SirTappy joined. 
07:37:30.131 INFO  Discord: [💬👮→︱officer-chat] Dev/Mod | BamBoozledMC: yhis work or no 
07:37:30.396 INFO  Minecraft: Officer > SealEaterV [LS]: Dev/Mod| BamBoozledMC» yhis work or no 
07:37:35.818 INFO  Minecraft: Officer > [VIP] ASovietDoge [US]: ye 
07:37:36.773 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: 6 rats dude... 
07:37:39.676 INFO  Minecraft: Officer > [MVP++] SeaDoggoOwO [LS]: yes 
07:37:40.009 INFO  Discord: [💬👮→︱officer-chat] Dev/Mod | BamBoozledMC: pog 
07:37:40.281 INFO  Minecraft: Officer > SealEaterV [LS]: Dev/Mod| BamBoozledMC» pog 
07:37:42.024 INFO  Minecraft: Guild > [MVP+] c_RaMMikKs__ [M]: i got none still 
07:37:42.613 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: will buy 
07:37:43.892 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: 1 
07:37:44.997 INFO  Minecraft: Guild > [VIP] oworeaper [M]: shh 
07:37:45.035 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: for 50k 
07:37:46.738 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: it's 10k on ah 
07:37:48.995 INFO  Minecraft: Guild > [VIP] ASovietDoge [US]: floppy 
07:37:49.338 INFO  Minecraft: Guild > [MVP++] SeaDoggoOwO [LS]: 2 leg pets no epics 
07:37:51.624 INFO  Minecraft: Guild > [MVP+] FloppySealOwO [M]: wait 
07:37:52.440 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: nice 
07:37:52.671 INFO  Minecraft: You cannot say the same message twice! 
07:37:57.176 INFO  Discord: [💬→︱guild-chat] Dev/Mod | BamBoozledMC: frick 
07:37:57.180 INFO  Minecraft: Guild > [MVP+] Qesca [M]: there isnt an epic 
07:37:57.435 INFO  Minecraft: Guild > SealEaterV [LS]: Dev/Mod| BamBoozledMC» frick 
07:37:58.431 INFO  Minecraft: Guild > [VIP] Mouse_Throwdious [M]: 6 rats, 7 in total 
